settimana,regione,candidature_organiche_vere,candidature_organiche_osservate
2024-09-02,Piemonte,415.4,502
2024-09-02,Puglia,417.5,475
2024-09-02,Sardegna,184.0,228
2024-09-02,Sicilia,419.1,500
2024-09-02,Toscana,367.4,357
2024-09-02,Trentino-Alto Adige,116.7,103
2024-09-02,Umbria,87.0,86
2024-09-02,Valle d'Aosta,7.5,6
2024-09-02,Veneto,538.9,689
2024-09-09,Abruzzo,148.4,151
2024-09-09,Basilicata,78.3,80
2024-09-09,Calabria,171.0,226
2024-09-09,Campania,625.4,607
2024-09-09,Emilia-Romagna,404.7,442
2024-09-09,Friuli-Venezia Giulia,122.9,180
2024-09-09,Lazio,875.8,1177
2024-09-09,Liguria,192.4,235
2024-09-09,Lombardia,1123.0,928
2024-09-09,Marche,245.4,291
2024-09-09,Molise,31.1,23
2024-09-09,Piemonte,411.6,414
2024-09-09,Puglia,415.5,508
2024-09-09,Sardegna,202.9,230
2024-09-09,Sicilia,421.6,386
2024-09-09,Toscana,372.0,360
2024-09-09,Trentino-Alto Adige,125.5,121
2024-09-09,Umbria,79.5,79
2024-09-09,Valle d'Aosta,11.0,8
2024-09-09,Veneto,527.1,461
2024-09-16,Abruzzo,151.6,105
2024-09-16,Basilicata,72.2,78
2024-09-16,Calabria,193.1,182
2024-09-16,Campania,565.3,714
2024-09-16,Emilia-Romagna,428.6,524
2024-09-16,Friuli-Venezia Giulia,121.0,129
2024-09-16,Lazio,898.1,1451
2024-09-16,Liguria,205.6,178
2024-09-16,Lombardia,1222.0,1242
2024-09-16,Marche,226.3,368
2024-09-16,Molise,24.6,20
2024-09-16,Piemonte,437.4,468
2024-09-16,Puglia,404.1,379
2024-09-16,Sardegna,190.2,233
2024-09-16,Sicilia,472.4,489
2024-09-16,Toscana,333.0,249
2024-09-16,Trentino-Alto Adige,109.6,125
2024-09-16,Umbria,96.1,81
2024-09-16,Valle d'Aosta,9.5,9
2024-09-16,Veneto,550.4,542
2024-09-23,Abruzzo,142.9,193
2024-09-23,Basilicata,83.7,75
2024-09-23,Calabria,168.3,138
2024-09-23,Campania,616.2,542
2024-09-23,Emilia-Romagna,425.0,639
2024-09-23,Friuli-Venezia Giulia,129.3,162
2024-09-23,Lazio,929.3,798
2024-09-23,Liguria,211.5,193
2024-09-23,Lombardia,1223.1,1048
2024-09-23,Marche,223.3,240
2024-09-23,Molise,35.6,31
2024-09-23,Piemonte,487.0,441
2024-09-23,Puglia,383.2,461
2024-09-23,Sardegna,194.6,262
2024-09-23,Sicilia,428.7,476
2024-09-23,Toscana,371.7,229
2024-09-23,Trentino-Alto Adige,128.0,146
2024-09-23,Umbria,97.0,81
2024-09-23,Valle d'Aosta,11.4,15
2024-09-23,Veneto,552.2,794
2024-09-30,Abruzzo,155.5,181
2024-09-30,Basilicata,90.4,95
2024-09-30,Calabria,203.1,243
2024-09-30,Campania,583.5,685
2024-09-30,Emilia-Romagna,428.2,597
2024-09-30,Friuli-Venezia Giulia,114.0,125
2024-09-30,Lazio,974.8,1087
2024-09-30,Liguria,212.4,198
2024-09-30,Lombardia,1235.6,1414
2024-09-30,Marche,223.1,195
2024-09-30,Molise,38.3,29
2024-09-30,Piemonte,478.0,489
2024-09-30,Puglia,419.4,370
2024-09-30,Sardegna,192.2,177
2024-09-30,Sicilia,458.7,344
2024-09-30,Toscana,344.6,341
2024-09-30,Trentino-Alto Adige,139.3,158
2024-09-30,Umbria,101.4,71
2024-09-30,Valle d'Aosta,11.8,11
2024-09-30,Veneto,584.4,666
2024-10-07,Abruzzo,160.6,187
2024-10-07,Basilicata,73.7,79
2024-10-07,Calabria,211.2,177
2024-10-07,Campania,587.6,630
2024-10-07,Emilia-Romagna,448.0,357
2024-10-07,Friuli-Venezia Giulia,133.9,128
2024-10-07,Lazio,972.7,1062
2024-10-07,Liguria,205.8,160
2024-10-07,Lombardia,1274.1,1550
2024-10-07,Marche,238.2,213
2024-10-07,Molise,29.8,20
2024-10-07,Piemonte,484.4,330
2024-10-07,Puglia,433.1,406
2024-10-07,Sardegna,182.7,225
2024-10-07,Sicilia,450.0,413
2024-10-07,Toscana,401.9,390
2024-10-07,Trentino-Alto Adige,134.1,126
2024-10-07,Umbria,101.1,108
2024-10-07,Valle d'Aosta,10.0,11
2024-10-07,Veneto,593.7,610
2024-10-14,Abruzzo,168.0,162
2024-10-14,Basilicata,75.0,73
2024-10-14,Calabria,196.9,257
2024-10-14,Campania,616.2,600
2024-10-14,Emilia-Romagna,462.6,418
2024-10-14,Friuli-Venezia Giulia,149.3,146
2024-10-14,Lazio,1017.5,864
2024-10-14,Liguria,223.9,185
2024-10-14,Lombardia,1409.9,2075
2024-10-14,Marche,260.1,314
2024-10-14,Molise,28.9,30
2024-10-14,Piemonte,510.6,701
2024-10-14,Puglia,441.9,525
2024-10-14,Sardegna,185.3,229
2024-10-14,Sicilia,440.8,417
2024-10-14,Toscana,406.6,406
2024-10-14,Trentino-Alto Adige,120.1,116
2024-10-14,Umbria,92.8,86
2024-10-14,Valle d'Aosta,6.0,7
2024-10-14,Veneto,615.6,550
2024-10-21,Abruzzo,171.4,294
2024-10-21,Basilicata,81.1,63
2024-10-21,Calabria,201.0,265
2024-10-21,Campania,639.0,539
2024-10-21,Emilia-Romagna,458.2,530
2024-10-21,Friuli-Venezia Giulia,154.8,141
2024-10-21,Lazio,1075.7,1045
2024-10-21,Liguria,218.1,214
2024-10-21,Lombardia,1448.0,1575
2024-10-21,Marche,244.4,222
2024-10-21,Molise,28.1,27
2024-10-21,Piemonte,514.9,487
2024-10-21,Puglia,438.2,470
2024-10-21,Sardegna,190.2,172
2024-10-21,Sicilia,444.9,629
2024-10-21,Toscana,382.9,368
2024-10-21,Trentino-Alto Adige,124.9,145
2024-10-21,Umbria,96.7,83
2024-10-21,Valle d'Aosta,8.6,8
2024-10-21,Veneto,612.2,542
2024-10-28,Abruzzo,164.4,138
2024-10-28,Basilicata,83.4,65
2024-10-28,Calabria,199.4,194
2024-10-28,Campania,689.8,552
2024-10-28,Emilia-Romagna,482.1,421
2024-10-28,Friuli-Venezia Giulia,147.1,121
2024-10-28,Lazio,1057.6,1340
2024-10-28,Liguria,243.9,260
2024-10-28,Lombardia,1483.7,1667
2024-10-28,Marche,248.1,198
2024-10-28,Molise,28.3,30
2024-10-28,Piemonte,528.7,578
2024-10-28,Puglia,407.2,353
2024-10-28,Sardegna,180.6,210
2024-10-28,Sicilia,447.5,536
2024-10-28,Toscana,359.8,413
2024-10-28,Trentino-Alto Adige,132.6,135
2024-10-28,Umbria,100.7,79
2024-10-28,Valle d'Aosta,11.9,11
2024-10-28,Veneto,650.7,570
2024-11-04,Abruzzo,184.2,260
2024-11-04,Basilicata,70.9,61
2024-11-04,Calabria,197.7,250
2024-11-04,Campania,689.8,743
2024-11-04,Emilia-Romagna,528.9,411
2024-11-04,Friuli-Venezia Giulia,151.5,186
2024-11-04,Lazio,1070.0,786
2024-11-04,Liguria,212.3,146
2024-11-04,Lombardia,1458.2,1432
2024-11-04,Marche,244.5,267
2024-11-04,Molise,40.0,39
2024-11-04,Piemonte,523.2,591
2024-11-04,Puglia,431.0,441
2024-11-04,Sardegna,199.9,181
2024-11-04,Sicilia,478.1,471
2024-11-04,Toscana,408.0,437
2024-11-04,Trentino-Alto Adige,132.4,111
2024-11-04,Umbria,121.8,103
2024-11-04,Valle d'Aosta,10.4,9
2024-11-04,Veneto,637.0,804
2024-11-11,Abruzzo,158.2,142
2024-11-11,Basilicata,72.8,112
2024-11-11,Calabria,199.4,195
2024-11-11,Campania,645.3,719
2024-11-11,Emilia-Romagna,482.5,606
2024-11-11,Friuli-Venezia Giulia,156.5,243
2024-11-11,Lazio,1074.5,1008
2024-11-11,Liguria,200.4,194
2024-11-11,Lombardia,1470.5,1758
2024-11-11,Marche,267.8,378
2024-11-11,Molise,28.4,26
2024-11-11,Piemonte,502.2,605
2024-11-11,Puglia,439.2,359
2024-11-11,Sardegna,190.3,171
2024-11-11,Sicilia,450.8,429
2024-11-11,Toscana,408.3,404
2024-11-11,Trentino-Alto Adige,141.4,101
2024-11-11,Umbria,110.3,158
2024-11-11,Valle d'Aosta,5.3,4
2024-11-11,Veneto,599.4,561
2024-11-18,Abruzzo,165.5,159
2024-11-18,Basilicata,76.4,79
2024-11-18,Calabria,179.6,204
2024-11-18,Campania,624.5,642
2024-11-18,Emilia-Romagna,484.2,556
2024-11-18,Friuli-Venezia Giulia,147.6,119
2024-11-18,Lazio,1029.4,1110
2024-11-18,Liguria,217.4,215
2024-11-18,Lombardia,1467.2,1771
2024-11-18,Marche,243.9,233
2024-11-18,Molise,39.9,39
2024-11-18,Piemonte,509.0,621
2024-11-18,Puglia,411.4,341
2024-11-18,Sardegna,210.5,261
2024-11-18,Sicilia,457.2,600
2024-11-18,Toscana,406.3,417
2024-11-18,Trentino-Alto Adige,129.0,110
2024-11-18,Umbria,95.4,78
2024-11-18,Valle d'Aosta,5.8,6
2024-11-18,Veneto,606.5,516
2024-11-25,Abruzzo,172.9,160
2024-11-25,Basilicata,79.3,79
2024-11-25,Calabria,218.1,252
2024-11-25,Campania,611.7,859
2024-11-25,Emilia-Romagna,483.6,451
2024-11-25,Friuli-Venezia Giulia,141.7,126
2024-11-25,Lazio,976.5,1284
2024-11-25,Liguria,198.7,181
2024-11-25,Lombardia,1389.3,1237
2024-11-25,Marche,251.5,170
2024-11-25,Molise,22.9,28
2024-11-25,Piemonte,524.5,393
2024-11-25,Puglia,389.7,348
2024-11-25,Sardegna,192.6,132
2024-11-25,Sicilia,456.8,276
2024-11-25,Toscana,379.0,392
2024-11-25,Trentino-Alto Adige,121.8,114
2024-11-25,Umbria,97.8,89
2024-11-25,Valle d'Aosta,4.0,3
2024-11-25,Veneto,577.3,640
2024-12-02,Abruzzo,157.0,163
2024-12-02,Basilicata,69.2,69
2024-12-02,Calabria,193.6,201
2024-12-02,Campania,570.9,507
2024-12-02,Emilia-Romagna,449.8,435
2024-12-02,Friuli-Venezia Giulia,143.2,139
2024-12-02,Lazio,942.2,1075
2024-12-02,Liguria,208.6,222
2024-12-02,Lombardia,1259.4,1078
2024-12-02,Marche,223.8,276
2024-12-02,Molise,34.0,40
2024-12-02,Piemonte,494.0,344
2024-12-02,Puglia,389.8,376
2024-12-02,Sardegna,168.8,181
2024-12-02,Sicilia,412.1,324
2024-12-02,Toscana,346.1,315
2024-12-02,Trentino-Alto Adige,121.9,146
2024-12-02,Umbria,91.5,102
2024-12-02,Valle d'Aosta,10.3,12
2024-12-02,Veneto,571.9,504
2024-12-09,Abruzzo,113.8,110
2024-12-09,Basilicata,71.4,64
2024-12-09,Calabria,129.3,154
2024-12-09,Campania,479.2,450
2024-12-09,Emilia-Romagna,335.5,279
2024-12-09,Friuli-Venezia Giulia,106.3,84
2024-12-09,Lazio,833.5,1068
2024-12-09,Liguria,166.4,201
2024-12-09,Lombardia,1064.1,981
2024-12-09,Marche,172.2,142
2024-12-09,Molise,23.4,19
2024-12-09,Piemonte,397.0,306
2024-12-09,Puglia,307.8,256
2024-12-09,Sardegna,173.2,209
2024-12-09,Sicilia,327.3,274
2024-12-09,Toscana,291.9,347
2024-12-09,Trentino-Alto Adige,111.3,107
2024-12-09,Umbria,74.6,109
2024-12-09,Valle d'Aosta,7.2,9
2024-12-09,Veneto,467.2,550
2024-12-16,Abruzzo,86.9,66
2024-12-16,Basilicata,50.3,69
2024-12-16,Calabria,102.3,87
2024-12-16,Campania,387.5,392
2024-12-16,Emilia-Romagna,278.0,222
2024-12-16,Friuli-Venezia Giulia,80.7,61
2024-12-16,Lazio,647.6,672
2024-12-16,Liguria,130.0,158
2024-12-16,Lombardia,844.2,895
2024-12-16,Marche,135.2,95
2024-12-16,Molise,19.4,24
2024-12-16,Piemonte,327.8,206
2024-12-16,Puglia,283.6,234
2024-12-16,Sardegna,133.1,140
2024-12-16,Sicilia,313.8,444
2024-12-16,Toscana,241.1,233
2024-12-16,Trentino-Alto Adige,82.6,100
2024-12-16,Umbria,60.8,45
2024-12-16,Valle d'Aosta,10.7,16
2024-12-16,Veneto,369.9,409
2024-12-23,Abruzzo,124.0,143
2024-12-23,Basilicata,53.0,40
2024-12-23,Calabria,113.8,101
2024-12-23,Campania,359.6,315
2024-12-23,Emilia-Romagna,259.8,239
2024-12-23,Friuli-Venezia Giulia,67.6,64
2024-12-23,Lazio,613.6,578
2024-12-23,Liguria,148.3,208
2024-12-23,Lombardia,778.9,608
2024-12-23,Marche,141.8,144
2024-12-23,Molise,16.2,16
2024-12-23,Piemonte,295.5,289
2024-12-23,Puglia,252.0,338
2024-12-23,Sardegna,122.0,130
2024-12-23,Sicilia,280.2,346
2024-12-23,Toscana,242.5,290
2024-12-23,Trentino-Alto Adige,80.5,71
2024-12-23,Umbria,65.2,60
2024-12-23,Valle d'Aosta,9.9,11
2024-12-23,Veneto,325.2,291
2024-12-30,Abruzzo,121.4,136
2024-12-30,Basilicata,54.6,78
2024-12-30,Calabria,142.5,112
2024-12-30,Campania,464.7,257
2024-12-30,Emilia-Romagna,330.7,325
2024-12-30,Friuli-Venezia Giulia,95.6,86
2024-12-30,Lazio,729.4,604
2024-12-30,Liguria,148.7,117
2024-12-30,Lombardia,950.2,1058
2024-12-30,Marche,168.3,145
2024-12-30,Molise,25.1,33
2024-12-30,Piemonte,343.5,262
2024-12-30,Puglia,312.8,337
2024-12-30,Sardegna,157.2,131
2024-12-30,Sicilia,357.4,370
2024-12-30,Toscana,265.0,296
2024-12-30,Trentino-Alto Adige,101.5,97
2024-12-30,Umbria,73.9,69
2024-12-30,Valle d'Aosta,8.7,11
2024-12-30,Veneto,438.9,431
2025-01-06,Abruzzo,149.2,200
2025-01-06,Basilicata,67.8,55
2025-01-06,Calabria,170.7,188
2025-01-06,Campania,515.9,454
2025-01-06,Emilia-Romagna,396.7,295
2025-01-06,Friuli-Venezia Giulia,100.0,122
2025-01-06,Lazio,837.6,850
2025-01-06,Liguria,181.9,292
2025-01-06,Lombardia,1098.9,1477
2025-01-06,Marche,213.8,350
2025-01-06,Molise,21.5,16
2025-01-06,Piemonte,391.2,264
2025-01-06,Puglia,398.0,566
2025-01-06,Sardegna,175.0,167
2025-01-06,Sicilia,388.6,409
2025-01-06,Toscana,316.4,342
2025-01-06,Trentino-Alto Adige,120.6,120
2025-01-06,Umbria,88.8,74
2025-01-06,Valle d'Aosta,7.6,8
2025-01-06,Veneto,498.1,408
2025-01-13,Abruzzo,144.7,131
2025-01-13,Basilicata,70.4,84
2025-01-13,Calabria,188.9,172
2025-01-13,Campania,561.3,597
2025-01-13,Emilia-Romagna,385.1,353
2025-01-13,Friuli-Venezia Giulia,123.9,101
2025-01-13,Lazio,869.7,940
2025-01-13,Liguria,207.8,213
2025-01-13,Lombardia,1116.9,1222
2025-01-13,Marche,215.3,209
2025-01-13,Molise,27.2,23
2025-01-13,Piemonte,426.3,508
2025-01-13,Puglia,370.4,275
2025-01-13,Sardegna,183.4,225
2025-01-13,Sicilia,438.3,410
2025-01-13,Toscana,362.4,410
2025-01-13,Trentino-Alto Adige,126.8,127
2025-01-13,Umbria,97.0,107
2025-01-13,Valle d'Aosta,9.3,12
2025-01-13,Veneto,496.2,413
2025-01-20,Abruzzo,134.5,145
2025-01-20,Basilicata,72.8,75
2025-01-20,Calabria,199.2,276
2025-01-20,Campania,542.1,607
2025-01-20,Emilia-Romagna,404.9,524
2025-01-20,Friuli-Venezia Giulia,102.5,92
2025-01-20,Lazio,866.2,661
2025-01-20,Liguria,182.3,151
2025-01-20,Lombardia,1114.5,1018
2025-01-20,Marche,189.6,208
2025-01-20,Molise,23.1,28
2025-01-20,Piemonte,419.0,345
2025-01-20,Puglia,397.6,470
2025-01-20,Sardegna,189.3,154
2025-01-20,Sicilia,446.1,640
2025-01-20,Toscana,368.1,379
2025-01-20,Trentino-Alto Adige,117.7,103
2025-01-20,Umbria,86.3,64
2025-01-20,Valle d'Aosta,12.7,11
2025-01-20,Veneto,490.4,528
2025-01-27,Abruzzo,157.9,189
2025-01-27,Basilicata,75.0,73
2025-01-27,Calabria,190.8,165
2025-01-27,Campania,581.0,690
2025-01-27,Emilia-Romagna,401.6,409
2025-01-27,Friuli-Venezia Giulia,119.2,109
2025-01-27,Lazio,876.4,807
2025-01-27,Liguria,202.2,255
2025-01-27,Lombardia,1128.9,1099
2025-01-27,Marche,196.7,193
2025-01-27,Molise,30.3,31
2025-01-27,Piemonte,430.5,444
2025-01-27,Puglia,380.4,449
2025-01-27,Sardegna,190.3,154
2025-01-27,Sicilia,440.9,625
2025-01-27,Toscana,345.1,391
2025-01-27,Trentino-Alto Adige,113.4,147
2025-01-27,Umbria,93.6,91
2025-01-27,Valle d'Aosta,10.5,12
2025-01-27,Veneto,516.8,657
2025-02-03,Abruzzo,144.4,135
2025-02-03,Basilicata,78.3,83
2025-02-03,Calabria,201.9,233
2025-02-03,Campania,562.5,527
2025-02-03,Emilia-Romagna,416.0,494
2025-02-03,Friuli-Venezia Giulia,123.8,101
2025-02-03,Lazio,868.7,676
2025-02-03,Liguria,187.4,236
2025-02-03,Lombardia,1170.9,999
2025-02-03,Marche,210.8,213
2025-02-03,Molise,32.7,29
2025-02-03,Piemonte,401.8,449
2025-02-03,Puglia,396.7,291
2025-02-03,Sardegna,175.6,138
2025-02-03,Sicilia,414.8,307
2025-02-03,Toscana,328.6,426
2025-02-03,Trentino-Alto Adige,120.5,117
2025-02-03,Umbria,78.4,99
2025-02-03,Valle d'Aosta,6.8,6
2025-02-03,Veneto,541.2,476
2025-02-10,Abruzzo,130.3,164
2025-02-10,Basilicata,68.5,54
2025-02-10,Calabria,183.5,230
2025-02-10,Campania,561.0,625
2025-02-10,Emilia-Romagna,403.5,540
2025-02-10,Friuli-Venezia Giulia,120.6,109
2025-02-10,Lazio,923.2,947
2025-02-10,Liguria,200.4,206
2025-02-10,Lombardia,1068.1,1366
2025-02-10,Marche,213.5,194
2025-02-10,Molise,24.7,21
2025-02-10,Piemonte,418.4,363
2025-02-10,Puglia,381.6,321
2025-02-10,Sardegna,188.9,200
2025-02-10,Sicilia,447.1,596
2025-02-10,Toscana,346.5,409
2025-02-10,Trentino-Alto Adige,122.4,115
2025-02-10,Umbria,86.4,121
2025-02-10,Valle d'Aosta,8.4,13
2025-02-10,Veneto,503.4,399
2025-02-17,Abruzzo,144.6,146
2025-02-17,Basilicata,64.9,65
2025-02-17,Calabria,188.5,210
2025-02-17,Campania,580.8,772
2025-02-17,Emilia-Romagna,403.7,575
2025-02-17,Friuli-Venezia Giulia,111.1,82
2025-02-17,Lazio,872.9,550
2025-02-17,Liguria,190.4,250
2025-02-17,Lombardia,1109.1,877
2025-02-17,Marche,210.8,211
2025-02-17,Molise,23.0,21
2025-02-17,Piemonte,420.7,489
2025-02-17,Puglia,378.3,422
2025-02-17,Sardegna,183.1,131
2025-02-17,Sicilia,437.7,467
2025-02-17,Toscana,349.6,381
2025-02-17,Trentino-Alto Adige,124.6,152
2025-02-17,Umbria,83.8,117
2025-02-17,Valle d'Aosta,10.5,12
2025-02-17,Veneto,523.1,518
2025-02-24,Abruzzo,140.9,73
2025-02-24,Basilicata,82.9,91
2025-02-24,Calabria,182.5,170
2025-02-24,Campania,566.2,651
2025-02-24,Emilia-Romagna,412.0,365
2025-02-24,Friuli-Venezia Giulia,130.6,128
2025-02-24,Lazio,887.0,1094
2025-02-24,Liguria,198.6,163
2025-02-24,Lombardia,1125.0,2108
2025-02-24,Marche,208.5,238
2025-02-24,Molise,33.4,31
2025-02-24,Piemonte,421.6,294
2025-02-24,Puglia,392.8,352
2025-02-24,Sardegna,188.9,165
2025-02-24,Sicilia,433.0,392
2025-02-24,Toscana,368.3,455
2025-02-24,Trentino-Alto Adige,115.1,113
2025-02-24,Umbria,94.5,112
2025-02-24,Valle d'Aosta,10.6,12
2025-02-24,Veneto,515.0,727
2025-03-03,Abruzzo,164.6,179
2025-03-03,Basilicata,76.5,57
2025-03-03,Calabria,160.6,113
2025-03-03,Campania,539.1,655
2025-03-03,Emilia-Romagna,398.7,553
2025-03-03,Friuli-Venezia Giulia,122.8,89
2025-03-03,Lazio,907.2,1312
2025-03-03,Liguria,193.5,173
2025-03-03,Lombardia,1136.9,1008
2025-03-03,Marche,205.8,156
2025-03-03,Molise,34.1,30
2025-03-03,Piemonte,415.3,325
2025-03-03,Puglia,396.0,485
2025-03-03,Sardegna,182.8,127
2025-03-03,Sicilia,438.6,362
2025-03-03,Toscana,331.1,313
2025-03-03,Trentino-Alto Adige,121.0,150
2025-03-03,Umbria,85.6,88
2025-03-03,Valle d'Aosta,9.8,8
2025-03-03,Veneto,505.0,498
2025-03-10,Abruzzo,138.0,134
2025-03-10,Basilicata,68.5,64
2025-03-10,Calabria,187.1,322
2025-03-10,Campania,525.6,545
2025-03-10,Emilia-Romagna,426.5,495
2025-03-10,Friuli-Venezia Giulia,118.3,122
2025-03-10,Lazio,893.0,1104
2025-03-10,Liguria,196.3,163
2025-03-10,Lombardia,1080.7,1051
2025-03-10,Marche,226.5,240
2025-03-10,Molise,37.4,34
2025-03-10,Piemonte,459.9,447
2025-03-10,Puglia,412.1,370
2025-03-10,Sardegna,192.6,174
2025-03-10,Sicilia,431.1,496
2025-03-10,Toscana,336.9,391
2025-03-10,Trentino-Alto Adige,101.3,81
2025-03-10,Umbria,78.8,77
2025-03-10,Valle d'Aosta,4.0,3
2025-03-10,Veneto,516.9,430
2025-03-17,Abruzzo,142.1,147
2025-03-17,Basilicata,68.2,93
2025-03-17,Calabria,184.3,180
2025-03-17,Campania,559.5,688
2025-03-17,Emilia-Romagna,413.4,430
2025-03-17,Friuli-Venezia Giulia,106.9,127
2025-03-17,Lazio,883.0,679
2025-03-17,Liguria,204.9,198
2025-03-17,Lombardia,1134.3,1191
2025-03-17,Marche,238.5,204
2025-03-17,Molise,28.5,22
2025-03-17,Piemonte,436.7,518
2025-03-17,Puglia,373.7,363
2025-03-17,Sardegna,184.2,212
2025-03-17,Sicilia,432.3,353
2025-03-17,Toscana,359.8,294
2025-03-17,Trentino-Alto Adige,120.9,137
2025-03-17,Umbria,78.4,85
2025-03-17,Valle d'Aosta,8.6,7
2025-03-17,Veneto,511.0,803
2025-03-24,Abruzzo,150.1,99
2025-03-24,Basilicata,71.9,94
2025-03-24,Calabria,177.4,265
2025-03-24,Campania,545.2,675
2025-03-24,Emilia-Romagna,404.1,671
2025-03-24,Friuli-Venezia Giulia,116.8,138
2025-03-24,Lazio,860.6,1028
2025-03-24,Liguria,200.2,188
2025-03-24,Lombardia,1097.8,1400
2025-03-24,Marche,210.0,226
2025-03-24,Molise,28.3,29
2025-03-24,Piemonte,407.6,349
2025-03-24,Puglia,377.3,547
2025-03-24,Sardegna,220.7,321
2025-03-24,Sicilia,446.3,425
2025-03-24,Toscana,327.0,288
2025-03-24,Trentino-Alto Adige,112.7,114
2025-03-24,Umbria,88.8,81
2025-03-24,Valle d'Aosta,6.1,7
2025-03-24,Veneto,530.6,583
2025-03-31,Abruzzo,154.9,115
2025-03-31,Basilicata,65.3,58
2025-03-31,Calabria,195.0,159
2025-03-31,Campania,602.4,535
2025-03-31,Emilia-Romagna,411.0,479
2025-03-31,Friuli-Venezia Giulia,120.8,108
2025-03-31,Lazio,896.1,768
2025-03-31,Liguria,209.4,220
2025-03-31,Lombardia,1154.5,959
2025-03-31,Marche,208.8,232
2025-03-31,Molise,32.9,33
2025-03-31,Piemonte,415.1,367
2025-03-31,Puglia,414.8,376
2025-03-31,Sardegna,211.5,281
2025-03-31,Sicilia,429.9,463
2025-03-31,Toscana,338.5,231
2025-03-31,Trentino-Alto Adige,125.1,105
2025-03-31,Umbria,92.0,70
2025-03-31,Valle d'Aosta,10.3,11
2025-03-31,Veneto,521.0,453
2025-04-07,Abruzzo,122.1,123
2025-04-07,Basilicata,77.5,81
2025-04-07,Calabria,197.6,272
2025-04-07,Campania,534.3,476
2025-04-07,Emilia-Romagna,417.1,413
2025-04-07,Friuli-Venezia Giulia,122.9,123
2025-04-07,Lazio,903.1,724
2025-04-07,Liguria,195.4,225
2025-04-07,Lombardia,1100.1,1043
2025-04-07,Marche,216.7,231
2025-04-07,Molise,29.1,26
2025-04-07,Piemonte,413.3,467
2025-04-07,Puglia,367.8,387
2025-04-07,Sardegna,178.7,146
2025-04-07,Sicilia,440.0,437
2025-04-07,Toscana,372.5,373
2025-04-07,Trentino-Alto Adige,115.9,129
2025-04-07,Umbria,82.6,78
2025-04-07,Valle d'Aosta,10.1,7
2025-04-07,Veneto,498.6,397
2025-04-14,Abruzzo,147.1,105
2025-04-14,Basilicata,76.0,76
2025-04-14,Calabria,189.5,144
2025-04-14,Campania,603.9,787
2025-04-14,Emilia-Romagna,406.6,378
2025-04-14,Friuli-Venezia Giulia,122.2,92
2025-04-14,Lazio,889.4,716
2025-04-14,Liguria,180.6,159
2025-04-14,Lombardia,1122.6,1319
2025-04-14,Marche,222.8,180
2025-04-14,Molise,21.4,17
2025-04-14,Piemonte,387.7,568
2025-04-14,Puglia,463.9,439
2025-04-14,Sardegna,190.4,176
2025-04-14,Sicilia,457.7,398
2025-04-14,Toscana,332.8,356
2025-04-14,Trentino-Alto Adige,114.8,128
2025-04-14,Umbria,84.7,85
2025-04-14,Valle d'Aosta,6.7,7
2025-04-14,Veneto,525.8,334
2025-04-21,Abruzzo,170.1,211
2025-04-21,Basilicata,74.6,94
2025-04-21,Calabria,191.9,157
2025-04-21,Campania,601.3,545
2025-04-21,Emilia-Romagna,412.1,400
2025-04-21,Friuli-Venezia Giulia,119.1,87
2025-04-21,Lazio,878.2,927
2025-04-21,Liguria,203.5,222
2025-04-21,Lombardia,1197.2,1078
2025-04-21,Marche,224.3,139
2025-04-21,Molise,28.1,34
2025-04-21,Piemonte,416.4,317
2025-04-21,Puglia,419.1,281
2025-04-21,Sardegna,202.8,241
2025-04-21,Sicilia,445.0,406
2025-04-21,Toscana,348.0,349
2025-04-21,Trentino-Alto Adige,124.6,155
2025-04-21,Umbria,90.7,87
2025-04-21,Valle d'Aosta,8.4,8
2025-04-21,Veneto,485.0,636
2025-04-28,Abruzzo,145.3,101
2025-04-28,Basilicata,73.1,72
2025-04-28,Calabria,189.8,176
2025-04-28,Campania,607.2,545
2025-04-28,Emilia-Romagna,416.2,338
2025-04-28,Friuli-Venezia Giulia,109.3,113
2025-04-28,Lazio,917.4,866
2025-04-28,Liguria,227.8,282
2025-04-28,Lombardia,1155.8,1320
2025-04-28,Marche,227.2,264
2025-04-28,Molise,23.3,27
2025-04-28,Piemonte,451.9,452
2025-04-28,Puglia,400.7,372
2025-04-28,Sardegna,191.5,181
2025-04-28,Sicilia,462.1,509
2025-04-28,Toscana,349.1,302
2025-04-28,Trentino-Alto Adige,123.4,116
2025-04-28,Umbria,96.3,80
2025-04-28,Valle d'Aosta,7.4,7
2025-04-28,Veneto,536.9,481
2025-05-05,Abruzzo,165.2,146
2025-05-05,Basilicata,70.9,89
2025-05-05,Calabria,206.0,187
2025-05-05,Campania,589.1,601
2025-05-05,Emilia-Romagna,409.9,318
2025-05-05,Friuli-Venezia Giulia,120.7,132
2025-05-05,Lazio,944.3,783
2025-05-05,Liguria,198.5,189
2025-05-05,Lombardia,1186.6,1229
2025-05-05,Marche,216.3,233
2025-05-05,Molise,28.2,25
2025-05-05,Piemonte,404.6,344
2025-05-05,Puglia,432.5,413
2025-05-05,Sardegna,215.0,276
2025-05-05,Sicilia,490.8,451
2025-05-05,Toscana,352.5,551
2025-05-05,Trentino-Alto Adige,116.6,110
2025-05-05,Umbria,79.6,83
2025-05-05,Valle d'Aosta,8.5,7
2025-05-05,Veneto,553.0,534
2025-05-12,Abruzzo,161.7,104
2025-05-12,Basilicata,79.0,106
2025-05-12,Calabria,223.6,299
