settimana,regione,ricerche_candidati
2024-11-11,Abruzzo,96
2024-11-11,Basilicata,40
2024-11-11,Calabria,199
2024-11-11,Campania,484
2024-11-11,Emilia-Romagna,415
2024-11-11,Friuli-Venezia Giulia,145
2024-11-11,Lazio,616
2024-11-11,Liguria,118
2024-11-11,Lombardia,1106
2024-11-11,Marche,153
2024-11-11,Molise,27
2024-11-11,Piemonte,468
2024-11-11,Puglia,361
2024-11-11,Sardegna,141
2024-11-11,Sicilia,410
2024-11-11,Toscana,321
2024-11-11,Trentino-Alto Adige,109
2024-11-11,Umbria,108
2024-11-11,Valle d'Aosta,0
2024-11-11,Veneto,445
2024-11-18,Abruzzo,110
2024-11-18,Basilicata,25
2024-11-18,Calabria,101
2024-11-18,Campania,562
2024-11-18,Emilia-Romagna,375
2024-11-18,Friuli-Venezia Giulia,103
2024-11-18,Lazio,462
2024-11-18,Liguria,131
2024-11-18,Lombardia,1055
2024-11-18,Marche,135
2024-11-18,Molise,38
2024-11-18,Piemonte,458
2024-11-18,Puglia,292
2024-11-18,Sardegna,154
2024-11-18,Sicilia,380
2024-11-18,Toscana,341
2024-11-18,Trentino-Alto Adige,79
2024-11-18,Umbria,76
2024-11-18,Valle d'Aosta,5
2024-11-18,Veneto,464
2024-11-25,Abruzzo,102
2024-11-25,Basilicata,46
2024-11-25,Calabria,161
2024-11-25,Campania,587
2024-11-25,Emilia-Romagna,461
2024-11-25,Friuli-Venezia Giulia,120
2024-11-25,Lazio,473
2024-11-25,Liguria,107
2024-11-25,Lombardia,1032
2024-11-25,Marche,145
2024-11-25,Molise,19
2024-11-25,Piemonte,491
2024-11-25,Puglia,284
2024-11-25,Sardegna,141
2024-11-25,Sicilia,380
2024-11-25,Toscana,390
2024-11-25,Trentino-Alto Adige,75
2024-11-25,Umbria,61
2024-11-25,Valle d'Aosta,0
2024-11-25,Veneto,453
2024-12-02,Abruzzo,125
2024-12-02,Basilicata,45
2024-12-02,Calabria,130
2024-12-02,Campania,487
2024-12-02,Emilia-Romagna,427
2024-12-02,Friuli-Venezia Giulia,106
2024-12-02,Lazio,510
2024-12-02,Liguria,117
2024-12-02,Lombardia,972
2024-12-02,Marche,128
2024-12-02,Molise,37
2024-12-02,Piemonte,452
2024-12-02,Puglia,286
2024-12-02,Sardegna,126
2024-12-02,Sicilia,390
2024-12-02,Toscana,352
2024-12-02,Trentino-Alto Adige,104
2024-12-02,Umbria,71
2024-12-02,Valle d'Aosta,16
2024-12-02,Veneto,482
2024-12-09,Abruzzo,88
2024-12-09,Basilicata,60
2024-12-09,Calabria,83
2024-12-09,Campania,341
2024-12-09,Emilia-Romagna,331
2024-12-09,Friuli-Venezia Giulia,101
2024-12-09,Lazio,424
2024-12-09,Liguria,108
2024-12-09,Lombardia,834
2024-12-09,Marche,89
2024-12-09,Molise,28
2024-12-09,Piemonte,359
2024-12-09,Puglia,283
2024-12-09,Sardegna,195
2024-12-09,Sicilia,311
2024-12-09,Toscana,253
2024-12-09,Trentino-Alto Adige,110
2024-12-09,Umbria,54
2024-12-09,Valle d'Aosta,12
2024-12-09,Veneto,352
2024-12-16,Abruzzo,91
2024-12-16,Basilicata,12
2024-12-16,Calabria,101
2024-12-16,Campania,421
2024-12-16,Emilia-Romagna,346
2024-12-16,Friuli-Venezia Giulia,81
2024-12-16,Lazio,385
2024-12-16,Liguria,83
2024-12-16,Lombardia,730
2024-12-16,Marche,82
2024-12-16,Molise,31
2024-12-16,Piemonte,386
2024-12-16,Puglia,305
2024-12-16,Sardegna,107
2024-12-16,Sicilia,353
2024-12-16,Toscana,288
2024-12-16,Trentino-Alto Adige,68
2024-12-16,Umbria,37
2024-12-16,Valle d'Aosta,21
2024-12-16,Veneto,356
2024-12-23,Abruzzo,113
2024-12-23,Basilicata,57
2024-12-23,Calabria,107
2024-12-23,Campania,396
2024-12-23,Emilia-Romagna,269
2024-12-23,Friuli-Venezia Giulia,28
2024-12-23,Lazio,360
2024-12-23,Liguria,162
2024-12-23,Lombardia,678
2024-12-23,Marche,122
2024-12-23,Molise,16
2024-12-23,Piemonte,390
2024-12-23,Puglia,177
2024-12-23,Sardegna,106
2024-12-23,Sicilia,399
2024-12-23,Toscana,242
2024-12-23,Trentino-Alto Adige,101
2024-12-23,Umbria,70
2024-12-23,Valle d'Aosta,5
2024-12-23,Veneto,222
2024-12-30,Abruzzo,64
2024-12-30,Basilicata,39
2024-12-30,Calabria,98
2024-12-30,Campania,434
2024-12-30,Emilia-Romagna,325
2024-12-30,Friuli-Venezia Giulia,112
2024-12-30,Lazio,426
2024-12-30,Liguria,100
2024-12-30,Lombardia,735
2024-12-30,Marche,103
2024-12-30,Molise,37
2024-12-30,Piemonte,386
2024-12-30,Puglia,293
2024-12-30,Sardegna,95
2024-12-30,Sicilia,458
2024-12-30,Toscana,304
2024-12-30,Trentino-Alto Adige,67
2024-12-30,Umbria,49
2024-12-30,Valle d'Aosta,10
2024-12-30,Veneto,401
2025-01-06,Abruzzo,128
2025-01-06,Basilicata,71
2025-01-06,Calabria,129
2025-01-06,Campania,380
2025-01-06,Emilia-Romagna,332
2025-01-06,Friuli-Venezia Giulia,86
2025-01-06,Lazio,535
2025-01-06,Liguria,103
2025-01-06,Lombardia,915
2025-01-06,Marche,131
2025-01-06,Molise,5
2025-01-06,Piemonte,373
2025-01-06,Puglia,396
2025-01-06,Sardegna,147
2025-01-06,Sicilia,366
2025-01-06,Toscana,291
2025-01-06,Trentino-Alto Adige,83
2025-01-06,Umbria,79
2025-01-06,Valle d'Aosta,13
2025-01-06,Veneto,352
2025-01-13,Abruzzo,94
2025-01-13,Basilicata,59
2025-01-13,Calabria,166
2025-01-13,Campania,427
2025-01-13,Emilia-Romagna,353
2025-01-13,Friuli-Venezia Giulia,119
2025-01-13,Lazio,523
2025-01-13,Liguria,146
2025-01-13,Lombardia,871
2025-01-13,Marche,132
2025-01-13,Molise,19
2025-01-13,Piemonte,337
2025-01-13,Puglia,247
2025-01-13,Sardegna,129
2025-01-13,Sicilia,405
2025-01-13,Toscana,284
2025-01-13,Trentino-Alto Adige,103
2025-01-13,Umbria,103
2025-01-13,Valle d'Aosta,12
2025-01-13,Veneto,454
2025-01-20,Abruzzo,85
2025-01-20,Basilicata,56
2025-01-20,Calabria,152
2025-01-20,Campania,490
2025-01-20,Emilia-Romagna,381
2025-01-20,Friuli-Venezia Giulia,90
2025-01-20,Lazio,411
2025-01-20,Liguria,113
2025-01-20,Lombardia,827
2025-01-20,Marche,99
2025-01-20,Molise,20
2025-01-20,Piemonte,341
2025-01-20,Puglia,357
2025-01-20,Sardegna,150
2025-01-20,Sicilia,480
2025-01-20,Toscana,420
2025-01-20,Trentino-Alto Adige,106
2025-01-20,Umbria,33
2025-01-20,Valle d'Aosta,7
2025-01-20,Veneto,360
2025-01-27,Abruzzo,152
2025-01-27,Basilicata,46
2025-01-27,Calabria,151
2025-01-27,Campania,539
2025-01-27,Emilia-Romagna,361
2025-01-27,Friuli-Venezia Giulia,102
2025-01-27,Lazio,461
2025-01-27,Liguria,124
2025-01-27,Lombardia,939
2025-01-27,Marche,100
2025-01-27,Molise,45
2025-01-27,Piemonte,378
2025-01-27,Puglia,314
2025-01-27,Sardegna,114
2025-01-27,Sicilia,446
2025-01-27,Toscana,327
2025-01-27,Trentino-Alto Adige,74
2025-01-27,Umbria,99
2025-01-27,Valle d'Aosta,12
2025-01-27,Veneto,466
2025-02-03,Abruzzo,141
2025-02-03,Basilicata,49
2025-02-03,Calabria,154
2025-02-03,Campania,426
2025-02-03,Emilia-Romagna,408
2025-02-03,Friuli-Venezia Giulia,106
2025-02-03,Lazio,477
2025-02-03,Liguria,107
2025-02-03,Lombardia,881
2025-02-03,Marche,160
2025-02-03,Molise,41
2025-02-03,Piemonte,333
2025-02-03,Puglia,338
2025-02-03,Sardegna,102
2025-02-03,Sicilia,372
2025-02-03,Toscana,325
2025-02-03,Trentino-Alto Adige,81
2025-02-03,Umbria,43
2025-02-03,Valle d'Aosta,3
2025-02-03,Veneto,504
2025-02-10,Abruzzo,77
2025-02-10,Basilicata,42
2025-02-10,Calabria,170
2025-02-10,Campania,479
2025-02-10,Emilia-Romagna,376
2025-02-10,Friuli-Venezia Giulia,119
2025-02-10,Lazio,553
2025-02-10,Liguria,131
2025-02-10,Lombardia,754
2025-02-10,Marche,127
2025-02-10,Molise,35
2025-02-10,Piemonte,367
2025-02-10,Puglia,324
2025-02-10,Sardegna,167
2025-02-10,Sicilia,468
2025-02-10,Toscana,404
2025-02-10,Trentino-Alto Adige,87
2025-02-10,Umbria,82
2025-02-10,Valle d'Aosta,20
2025-02-10,Veneto,415
2025-02-17,Abruzzo,132
2025-02-17,Basilicata,38
2025-02-17,Calabria,155
2025-02-17,Campania,443
2025-02-17,Emilia-Romagna,339
2025-02-17,Friuli-Venezia Giulia,91
2025-02-17,Lazio,476
2025-02-17,Liguria,160
2025-02-17,Lombardia,830
2025-02-17,Marche,137
2025-02-17,Molise,12
2025-02-17,Piemonte,367
2025-02-17,Puglia,263
2025-02-17,Sardegna,105
2025-02-17,Sicilia,412
2025-02-17,Toscana,335
2025-02-17,Trentino-Alto Adige,107
2025-02-17,Umbria,60
2025-02-17,Valle d'Aosta,12
2025-02-17,Veneto,424
2025-02-24,Abruzzo,112
2025-02-24,Basilicata,72
2025-02-24,Calabria,142
2025-02-24,Campania,495
2025-02-24,Emilia-Romagna,388
2025-02-24,Friuli-Venezia Giulia,124
2025-02-24,Lazio,463
2025-02-24,Liguria,137
2025-02-24,Lombardia,903
2025-02-24,Marche,156
2025-02-24,Molise,29
2025-02-24,Piemonte,353
2025-02-24,Puglia,335
2025-02-24,Sardegna,121
2025-02-24,Sicilia,459
2025-02-24,Toscana,364
2025-02-24,Trentino-Alto Adige,31
2025-02-24,Umbria,71
2025-02-24,Valle d'Aosta,10
2025-02-24,Veneto,406
2025-03-03,Abruzzo,152
2025-03-03,Basilicata,65
2025-03-03,Calabria,124
2025-03-03,Campania,437
2025-03-03,Emilia-Romagna,419
2025-03-03,Friuli-Venezia Giulia,116
2025-03-03,Lazio,529
2025-03-03,Liguria,133
2025-03-03,Lombardia,899
2025-03-03,Marche,108
2025-03-03,Molise,30
2025-03-03,Piemonte,368
2025-03-03,Puglia,403
2025-03-03,Sardegna,122
2025-03-03,Sicilia,455
2025-03-03,Toscana,256
2025-03-03,Trentino-Alto Adige,117
2025-03-03,Umbria,45
2025-03-03,Valle d'Aosta,4
2025-03-03,Veneto,411
2025-03-10,Abruzzo,95
2025-03-10,Basilicata,36
2025-03-10,Calabria,121
2025-03-10,Campania,380
2025-03-10,Emilia-Romagna,393
2025-03-10,Friuli-Venezia Giulia,115
2025-03-10,Lazio,558
2025-03-10,Liguria,117
2025-03-10,Lombardia,867
2025-03-10,Marche,156
2025-03-10,Molise,27
2025-03-10,Piemonte,467
2025-03-10,Puglia,351
2025-03-10,Sardegna,123
2025-03-10,Sicilia,408
2025-03-10,Toscana,278
2025-03-10,Trentino-Alto Adige,42
2025-03-10,Umbria,49
2025-03-10,Valle d'Aosta,0
2025-03-10,Veneto,393
2025-03-17,Abruzzo,95
2025-03-17,Basilicata,39
2025-03-17,Calabria,129
2025-03-17,Campania,435
2025-03-17,Emilia-Romagna,351
2025-03-17,Friuli-Venezia Giulia,90
2025-03-17,Lazio,462
2025-03-17,Liguria,132
2025-03-17,Lombardia,821
2025-03-17,Marche,169
2025-03-17,Molise,29
2025-03-17,Piemonte,417
2025-03-17,Puglia,338
2025-03-17,Sardegna,118
2025-03-17,Sicilia,422
2025-03-17,Toscana,312
2025-03-17,Trentino-Alto Adige,75
2025-03-17,Umbria,49
2025-03-17,Valle d'Aosta,16
2025-03-17,Veneto,460
2025-03-24,Abruzzo,95
2025-03-24,Basilicata,35
2025-03-24,Calabria,185
2025-03-24,Campania,476
2025-03-24,Emilia-Romagna,377
2025-03-24,Friuli-Venezia Giulia,64
2025-03-24,Lazio,477
2025-03-24,Liguria,131
2025-03-24,Lombardia,804
2025-03-24,Marche,115
2025-03-24,Molise,23
2025-03-24,Piemonte,327
2025-03-24,Puglia,359
2025-03-24,Sardegna,166
2025-03-24,Sicilia,382
2025-03-24,Toscana,214
2025-03-24,Trentino-Alto Adige,76
2025-03-24,Umbria,73
2025-03-24,Valle d'Aosta,7
2025-03-24,Veneto,492
2025-03-31,Abruzzo,107
2025-03-31,Basilicata,29
2025-03-31,Calabria,161
2025-03-31,Campania,562
2025-03-31,Emilia-Romagna,335
2025-03-31,Friuli-Venezia Giulia,103
2025-03-31,Lazio,552
2025-03-31,Liguria,124
2025-03-31,Lombardia,846
2025-03-31,Marche,124
2025-03-31,Molise,36
2025-03-31,Piemonte,415
2025-03-31,Puglia,419
2025-03-31,Sardegna,170
2025-03-31,Sicilia,413
2025-03-31,Toscana,278
2025-03-31,Trentino-Alto Adige,95
2025-03-31,Umbria,89
2025-03-31,Valle d'Aosta,16
2025-03-31,Veneto,399
2025-04-07,Abruzzo,60
2025-04-07,Basilicata,58
2025-04-07,Calabria,179
2025-04-07,Campania,491
2025-04-07,Emilia-Romagna,442
2025-04-07,Friuli-Venezia Giulia,88
2025-04-07,Lazio,477
2025-04-07,Liguria,108
2025-04-07,Lombardia,790
2025-04-07,Marche,118
2025-04-07,Molise,33
2025-04-07,Piemonte,362
2025-04-07,Puglia,256
2025-04-07,Sardegna,107
2025-04-07,Sicilia,348
2025-04-07,Toscana,367
2025-04-07,Trentino-Alto Adige,77
2025-04-07,Umbria,77
2025-04-07,Valle d'Aosta,7
2025-04-07,Veneto,355
2025-04-14,Abruzzo,59
2025-04-14,Basilicata,59
2025-04-14,Calabria,174
2025-04-14,Campania,563
2025-04-14,Emilia-Romagna,370
2025-04-14,Friuli-Venezia Giulia,127
2025-04-14,Lazio,441
2025-04-14,Liguria,86
2025-04-14,Lombardia,765
2025-04-14,Marche,177
2025-04-14,Molise,22
2025-04-14,Piemonte,289
2025-04-14,Puglia,361
2025-04-14,Sardegna,131
2025-04-14,Sicilia,391
2025-04-14,Toscana,342
2025-04-14,Trentino-Alto Adige,57
2025-04-14,Umbria,94
2025-04-14,Valle d'Aosta,14
2025-04-14,Veneto,465
2025-04-21,Abruzzo,142
2025-04-21,Basilicata,27
2025-04-21,Calabria,168
2025-04-21,Campania,534
2025-04-21,Emilia-Romagna,346
2025-04-21,Friuli-Venezia Giulia,119
2025-04-21,Lazio,493
2025-04-21,Liguria,85
2025-04-21,Lombardia,1029
2025-04-21,Marche,150
2025-04-21,Molise,31
2025-04-21,Piemonte,361
2025-04-21,Puglia,346
2025-04-21,Sardegna,120
2025-04-21,Sicilia,393
2025-04-21,Toscana,312
2025-04-21,Trentino-Alto Adige,82
2025-04-21,Umbria,73
2025-04-21,Valle d'Aosta,1
2025-04-21,Veneto,403
2025-04-28,Abruzzo,98
2025-04-28,Basilicata,41
2025-04-28,Calabria,165
2025-04-28,Campania,527
2025-04-28,Emilia-Romagna,415
2025-04-28,Friuli-Venezia Giulia,57
2025-04-28,Lazio,516
2025-04-28,Liguria,162
2025-04-28,Lombardia,953
2025-04-28,Marche,132
2025-04-28,Molise,23
2025-04-28,Piemonte,398
2025-04-28,Puglia,273
2025-04-28,Sardegna,119
2025-04-28,Sicilia,444
2025-04-28,Toscana,300
2025-04-28,Trentino-Alto Adige,107
2025-04-28,Umbria,67
2025-04-28,Valle d'Aosta,6
2025-04-28,Veneto,479
2025-05-05,Abruzzo,98
2025-05-05,Basilicata,48
2025-05-05,Calabria,151
2025-05-05,Campania,554
2025-05-05,Emilia-Romagna,364
2025-05-05,Friuli-Venezia Giulia,82
2025-05-05,Lazio,504
2025-05-05,Liguria,94
2025-05-05,Lombardia,848
2025-05-05,Marche,128
2025-05-05,Molise,28
2025-05-05,Piemonte,311
2025-05-05,Puglia,335
2025-05-05,Sardegna,117
2025-05-05,Sicilia,383
2025-05-05,Toscana,300
2025-05-05,Trentino-Alto Adige,64
2025-05-05,Umbria,68
2025-05-05,Valle d'Aosta,0
2025-05-05,Veneto,383
2025-05-12,Abruzzo,129
2025-05-12,Basilicata,51
2025-05-12,Calabria,189
2025-05-12,Campania,457
2025-05-12,Emilia-Romagna,409
2025-05-12,Friuli-Venezia Giulia,135
2025-05-12,Lazio,552
2025-05-12,Liguria,111
2025-05-12,Lombardia,861
2025-05-12,Marche,140
2025-05-12,Molise,29
2025-05-12,Piemonte,449
2025-05-12,Puglia,376
2025-05-12,Sardegna,111
2025-05-12,Sicilia,451
2025-05-12,Toscana,356
2025-05-12,Trentino-Alto Adige,112
2025-05-12,Umbria,79
2025-05-12,Valle d'Aosta,13
2025-05-12,Veneto,345
2025-05-19,Abruzzo,105
2025-05-19,Basilicata,48
2025-05-19,Calabria,145
2025-05-19,Campania,490
2025-05-19,Emilia-Romagna,438
2025-05-19,Friuli-Venezia Giulia,101
2025-05-19,Lazio,495
2025-05-19,Liguria,130
2025-05-19,Lombardia,943
2025-05-19,Marche,140
2025-05-19,Molise,19
2025-05-19,Piemonte,335
2025-05-19,Puglia,340
2025-05-19,Sardegna,172
2025-05-19,Sicilia,428
2025-05-19,Toscana,402
2025-05-19,Trentino-Alto Adige,110
2025-05-19,Umbria,112
2025-05-19,Valle d'Aosta,12
2025-05-19,Veneto,440
2025-05-26,Abruzzo,122
2025-05-26,Basilicata,32
2025-05-26,Calabria,160
2025-05-26,Campania,513
2025-05-26,Emilia-Romagna,367
2025-05-26,Friuli-Venezia Giulia,84
2025-05-26,Lazio,566
2025-05-26,Liguria,148
2025-05-26,Lombardia,924
2025-05-26,Marche,149
2025-05-26,Molise,6
2025-05-26,Piemonte,325
2025-05-26,Puglia,335
2025-05-26,Sardegna,111
2025-05-26,Sicilia,508
2025-05-26,Toscana,339
2025-05-26,Trentino-Alto Adige,103
2025-05-26,Umbria,94
2025-05-26,Valle d'Aosta,13
2025-05-26,Veneto,425
2025-06-02,Abruzzo,105
2025-06-02,Basilicata,68
2025-06-02,Calabria,169
2025-06-02,Campania,616
2025-06-02,Emilia-Romagna,333
2025-06-02,Friuli-Venezia Giulia,107
2025-06-02,Lazio,508
2025-06-02,Liguria,111
2025-06-02,Lombardia,827
2025-06-02,Marche,112
2025-06-02,Molise,31
2025-06-02,Piemonte,342
2025-06-02,Puglia,351
2025-06-02,Sardegna,159
2025-06-02,Sicilia,499
2025-06-02,Toscana,292
2025-06-02,Trentino-Alto Adige,61
2025-06-02,Umbria,65
2025-06-02,Valle d'Aosta,14
2025-06-02,Veneto,438
2025-06-09,Abruzzo,96
2025-06-09,Basilicata,56
2025-06-09,Calabria,162
2025-06-09,Campania,567
2025-06-09,Emilia-Romagna,401
2025-06-09,Friuli-Venezia Giulia,88
2025-06-09,Lazio,613
2025-06-09,Liguria,178
2025-06-09,Lombardia,895
2025-06-09,Marche,162
2025-06-09,Molise,26
2025-06-09,Piemonte,325
2025-06-09,Puglia,355
2025-06-09,Sardegna,166
2025-06-09,Sicilia,502
2025-06-09,Toscana,403
2025-06-09,Trentino-Alto Adige,88
2025-06-09,Umbria,88
2025-06-09,Valle d'Aosta,4
2025-06-09,Veneto,466
2025-06-16,Abruzzo,94
2025-06-16,Basilicata,64
2025-06-16,Calabria,193
2025-06-16,Campania,475
2025-06-16,Emilia-Romagna,441
2025-06-16,Friuli-Venezia Giulia,57
2025-06-16,Lazio,511
2025-06-16,Liguria,157
2025-06-16,Lombardia,880
2025-06-16,Marche,123
2025-06-16,Molise,14
2025-06-16,Piemonte,300
2025-06-16,Puglia,358
2025-06-16,Sardegna,129
2025-06-16,Sicilia,499
2025-06-16,Toscana,299
2025-06-16,Trentino-Alto Adige,86
2025-06-16,Umbria,91
2025-06-16,Valle d'Aosta,24
2025-06-16,Veneto,405
2025-06-23,Abruzzo,133
2025-06-23,Basilicata,67
2025-06-23,Calabria,165
2025-06-23,Campania,528
2025-06-23,Emilia-Romagna,429
2025-06-23,Friuli-Venezia Giulia,115
2025-06-23,Lazio,556
2025-06-23,Liguria,157
2025-06-23,Lombardia,1014
2025-06-23,Marche,138
2025-06-23,Molise,40
2025-06-23,Piemonte,271
2025-06-23,Puglia,369
2025-06-23,Sardegna,110
2025-06-23,Sicilia,619
2025-06-23,Toscana,419
2025-06-23,Trentino-Alto Adige,83
2025-06-23,Umbria,63
2025-06-23,Valle d'Aosta,2
2025-06-23,Veneto,459
2025-06-30,Abruzzo,122
2025-06-30,Basilicata,35
2025-06-30,Calabria,197
2025-06-30,Campania,499
2025-06-30,Emilia-Romagna,403
2025-06-30,Friuli-Venezia Giulia,122
2025-06-30,Lazio,492
2025-06-30,Liguria,96
2025-06-30,Lombardia,889
2025-06-30,Marche,135
2025-06-30,Molise,58
2025-06-30,Piemonte,440
2025-06-30,Puglia,417
2025-06-30,Sardegna,135
2025-06-30,Sicilia,474
2025-06-30,Toscana,301
2025-06-30,Trentino-Alto Adige,111
2025-06-30,Umbria,54
2025-06-30,Valle d'Aosta,22
2025-06-30,Veneto,465
2025-07-07,Abruzzo,123
2025-07-07,Basilicata,46
2025-07-07,Calabria,148
2025-07-07,Campania,568
2025-07-07,Emilia-Romagna,297
2025-07-07,Friuli-Venezia Giulia,104
2025-07-07,Lazio,603
2025-07-07,Liguria,162
2025-07-07,Lombardia,926
2025-07-07,Marche,157
2025-07-07,Molise,27
2025-07-07,Piemonte,368
2025-07-07,Puglia,397
2025-07-07,Sardegna,145
2025-07-07,Sicilia,400
2025-07-07,Toscana,327
2025-07-07,Trentino-Alto Adige,127
2025-07-07,Umbria,65
2025-07-07,Valle d'Aosta,5
2025-07-07,Veneto,452
2025-07-14,Abruzzo,120
2025-07-14,Basilicata,54
2025-07-14,Calabria,158
2025-07-14,Campania,675
2025-07-14,Emilia-Romagna,410
2025-07-14,Friuli-Venezia Giulia,154
2025-07-14,Lazio,637
2025-07-14,Liguria,132
2025-07-14,Lombardia,964
2025-07-14,Marche,126
2025-07-14,Molise,12
2025-07-14,Piemonte,358
2025-07-14,Puglia,362
2025-07-14,Sardegna,157
2025-07-14,Sicilia,513
2025-07-14,Toscana,344
2025-07-14,Trentino-Alto Adige,113
2025-07-14,Umbria,95
2025-07-14,Valle d'Aosta,17
2025-07-14,Veneto,435
2025-07-21,Abruzzo,148
2025-07-21,Basilicata,51
2025-07-21,Calabria,200
2025-07-21,Campania,496
2025-07-21,Emilia-Romagna,376
2025-07-21,Friuli-Venezia Giulia,108
2025-07-21,Lazio,437
2025-07-21,Liguria,125
2025-07-21,Lombardia,799
2025-07-21,Marche,104
2025-07-21,Molise,29
2025-07-21,Piemonte,325
2025-07-21,Puglia,427
2025-07-21,Sardegna,169
2025-07-21,Sicilia,405
2025-07-21,Toscana,391
2025-07-21,Trentino-Alto Adige,118
2025-07-21,Umbria,56
2025-07-21,Valle d'Aosta,19
2025-07-21,Veneto,449
2025-07-28,Abruzzo,144
2025-07-28,Basilicata,27
2025-07-28,Calabria,211
2025-07-28,Campania,437
2025-07-28,Emilia-Romagna,359
2025-07-28,Friuli-Venezia Giulia,82
2025-07-28,Lazio,493
2025-07-28,Liguria,128
2025-07-28,Lombardia,816
2025-07-28,Marche,149
2025-07-28,Molise,23
2025-07-28,Piemonte,358
2025-07-28,Puglia,298
2025-07-28,Sardegna,136
2025-07-28,Sicilia,417
2025-07-28,Toscana,267
2025-07-28,Trentino-Alto Adige,95
2025-07-28,Umbria,101
2025-07-28,Valle d'Aosta,9
2025-07-28,Veneto,340
2025-08-04,Abruzzo,71
2025-08-04,Basilicata,58
2025-08-04,Calabria,194
2025-08-04,Campania,513
2025-08-04,Emilia-Romagna,379
2025-08-04,Friuli-Venezia Giulia,83
2025-08-04,Lazio,420
2025-08-04,Liguria,112
2025-08-04,Lombardia,723
2025-08-04,Marche,127
2025-08-04,Molise,51
2025-08-04,Piemonte,251
2025-08-04,Puglia,383
2025-08-04,Sardegna,170
2025-08-04,Sicilia,389
2025-08-04,Toscana,318
2025-08-04,Trentino-Alto Adige,41
2025-08-04,Umbria,77
2025-08-04,Valle d'Aosta,11
2025-08-04,Veneto,440
2025-08-11,Abruzzo,69
2025-08-11,Basilicata,38
2025-08-11,Calabria,154
2025-08-11,Campania,403
2025-08-11,Emilia-Romagna,313
2025-08-11,Friuli-Venezia Giulia,106
2025-08-11,Lazio,533
2025-08-11,Liguria,139
2025-08-11,Lombardia,722
2025-08-11,Marche,134
2025-08-11,Molise,34
2025-08-11,Piemonte,415
2025-08-11,Puglia,308
2025-08-11,Sardegna,142
2025-08-11,Sicilia,351
2025-08-11,Toscana,268
2025-08-11,Trentino-Alto Adige,68
2025-08-11,Umbria,58
2025-08-11,Valle d'Aosta,11
2025-08-11,Veneto,304
2025-08-18,Abruzzo,111
2025-08-18,Basilicata,30
2025-08-18,Calabria,191
2025-08-18,Campania,456
2025-08-18,Emilia-Romagna,418
2025-08-18,Friuli-Venezia Giulia,87
2025-08-18,Lazio,511
2025-08-18,Liguria,133
2025-08-18,Lombardia,723
2025-08-18,Marche,194
2025-08-18,Molise,25
2025-08-18,Piemonte,273
2025-08-18,Puglia,322
2025-08-18,Sardegna,108
2025-08-18,Sicilia,354
2025-08-18,Toscana,220
2025-08-18,Trentino-Alto Adige,60
2025-08-18,Umbria,41
2025-08-18,Valle d'Aosta,11
2025-08-18,Veneto,401
2025-08-25,Abruzzo,73
2025-08-25,Basilicata,13
2025-08-25,Calabria,158
2025-08-25,Campania,442
2025-08-25,Emilia-Romagna,348
2025-08-25,Friuli-Venezia Giulia,119
2025-08-25,Lazio,516
2025-08-25,Liguria,143
2025-08-25,Lombardia,877
2025-08-25,Marche,159
2025-08-25,Molise,26
2025-08-25,Piemonte,404
2025-08-25,Puglia,324
2025-08-25,Sardegna,111
2025-08-25,Sicilia,440
2025-08-25,Toscana,266
2025-08-25,Trentino-Alto Adige,123
2025-08-25,Umbria,106
2025-08-25,Valle d'Aosta,16
2025-08-25,Veneto,441
2025-09-01,Abruzzo,120
2025-09-01,Basilicata,52
2025-09-01,Calabria,196
2025-09-01,Campania,543
2025-09-01,Emilia-Romagna,320
2025-09-01,Friuli-Venezia Giulia,64
2025-09-01,Lazio,394
2025-09-01,Liguria,150
2025-09-01,Lombardia,826
2025-09-01,Marche,118
2025-09-01,Molise,41
2025-09-01,Piemonte,392
2025-09-01,Puglia,392
2025-09-01,Sardegna,114
2025-09-01,Sicilia,405
2025-09-01,Toscana,345
2025-09-01,Trentino-Alto Adige,117
2025-09-01,Umbria,90
2025-09-01,Valle d'Aosta,26
2025-09-01,Veneto,417
2025-09-08,Abruzzo,99
2025-09-08,Basilicata,40
2025-09-08,Calabria,166
2025-09-08,Campania,412
2025-09-08,Emilia-Romagna,428
2025-09-08,Friuli-Venezia Giulia,130
2025-09-08,Lazio,530
2025-09-08,Liguria,110
2025-09-08,Lombardia,916
2025-09-08,Marche,127
2025-09-08,Molise,42
2025-09-08,Piemonte,340
2025-09-08,Puglia,384
2025-09-08,Sardegna,126
2025-09-08,Sicilia,367
2025-09-08,Toscana,293
2025-09-08,Trentino-Alto Adige,98
2025-09-08,Umbria,65
2025-09-08,Valle d'Aosta,16
2025-09-08,Veneto,381
2025-09-15,Abruzzo,81
2025-09-15,Basilicata,49
2025-09-15,Calabria,168
2025-09-15,Campania,433
2025-09-15,Emilia-Romagna,349
2025-09-15,Friuli-Venezia Giulia,142
2025-09-15,Lazio,511
2025-09-15,Liguria,67
2025-09-15,Lombardia,980
2025-09-15,Marche,162
2025-09-15,Molise,31
2025-09-15,Piemonte,303
2025-09-15,Puglia,360
2025-09-15,Sardegna,157
2025-09-15,Sicilia,392
2025-09-15,Toscana,325
2025-09-15,Trentino-Alto Adige,63
2025-09-15,Umbria,78
2025-09-15,Valle d'Aosta,7
2025-09-15,Veneto,395
2025-09-22,Abruzzo,133
